ID,Translation,Host_Lemma,Host_Trans,Form,Context
1506,вывалиться из рук,кваду,"нареч. со знач. в руках; в руке (прям. и пе-рен.)",квадуку,ква́дуку букки́
1507,книга выпала из рук,кваду,"нареч. со знач. в руках; в руке (прям. и пе-рен.)",квадуку,хъу́ча ква́дуку бу́кку
1508,"опухнуть; вспухнуть",opccy,снаружи,о́рссуку,о́рссуку кьуди́
1509,"внешность; наружность",opccy,снаружи,о́рссуку,о́рссуку гьагъиха́б ра́хъи
1510,внешкольное образование,opccy,снаружи,о́рссуку,"шкулалъи гучІада о́рссуку бацІиха́б лъай
"
1511,обгореть,opccy,снаружи,о́рссуку,о́рссуку цIатай
1512,стена обгорела,opccy,снаружи,о́рссуку,къи́нда о́рссуку цIа́та
1513,выводить из строя,unclear,строй,миза́начIу,миза́начIу ра́кьуку о́рсса (ин)чи
1513,выводить из строя,бакьу,среди,ра́кьуку,миза́начIу ра́кьуку о́рсса (ин)чи
1514,пропесочить,русси,задний проход,ру́ссуку,хвайи́чІу ру́ссуку вухи́
1515,"допьяна; до полного опьянения",русси,задний проход,ру́ссуку,ру́ссуку бу́ххидера
1516,"достаток; зажиточность",ссе//ссеа,"впереди; вперед; перед Х; раньше Х",ссеку,гьа́нкъе-ссеку хьваъа́бу ру́кІир
1517,положить жизнь за кого-л.,ссе//ссеа,"впереди; вперед; перед Х; раньше Х",ссеку,це́щучІу ссеку гIу́мру кки
1518,спрашивать вразбивку,ссе//ссеа,"впереди; вперед; перед Х; раньше Х",ссеку,ба́кьу-ссе́ку мацІцІи́
1519,"девать; прятать с глаз неизвестно куда",ссе//ссеа,"впереди; вперед; перед Х; раньше Х",ссеку,ссе́ку би́тай
1520,"выжить кого-л.; заставить кого-л. уйти с пути",ссе//ссеа,"впереди; вперед; перед Х; раньше Х",ссеку,ссе́ку в=у́хи (йи-)
1521,эксплуатировать,ссе//ссеа,"впереди; вперед; перед Х; раньше Х",ссеку,ссе́ку и́гьа ригъа́й
1522,вмуровать,ссе//ссеа,"впереди; вперед; перед Х; раньше Х",ссеку,ссе́ку къи́нда кІкІва́нду гьи́ну ре́ти
1523,выборочный,ссе//ссеа,"впереди; вперед; перед Х; раньше Х",ссеку,ба́кьу ссе́ку сабдиха́б
1524,выборочно,ссе//ссеа,"впереди; вперед; перед Х; раньше Х",ссеку,ба́кьу ссе́ку са́бду
1525,"спихнуть; сместить (с должности)",ссе//ссеа,"впереди; вперед; перед Х; раньше Х",ссеку,ссе́ку вила́й
1526,"изначальный; первоначальный",ссе//ссеа,"впереди; вперед; перед Х; раньше Х",ссеку́да,гье́чIи ссеку́да букIаб
1527,"отбросить; выбросить",уду,там,уда́ку,уда́ку била́й
1528,"завалящий; плохой; ненужный",уду,там,уда́ку,уда́ку било́ бета́б
1529,отложить в сторону,уду,там,уда́ку,уда́ку букIа́й
1530,"отстранить; отодвинуть",уду,там,уда́ку,уда́ку виси́
1531,вывезти мусор на свалку,уду,там,уда́ку,бу́щир уда́ку му́гъай
1532,перевести детей на другую сторону,уду,там,уда́ку,макIи́л уда́ку рухи́
1533,"свести; удалить",уду,там,уда́ку,уда́ку чи
1534,"насквозь; через всю толщу чего-л.",уду,там,уда́ку,уда́ку буххо́
1535,"удалить; заставить уйти",уду,там,уда́ку,уда́ку вута́й
1536,приберечь,уду,там,уда́ку,уда́ку букIо́ цIимди́
1537,"отбросить; бросить в сторону; выбросить; выкинуть прочь; вышвырнуть",уду,там,у́даку,у́даку (уда́ку) ссурдай
1538,ворочаться,удаку-араку,туда-сюда,удаку-араку,удаку-араку ссардаталъи́
1539,раздвинуться,удаку-араку,туда-сюда,удаку-араку,уда́ку-ара́ку наъи́
1540,ты не собираешься вставать (с постели)?,удаку-араку,туда-сюда,уда́ку-ара́ку,уда́ку-ара́ку сса́рди ракIва́рчІуда гучІи́ма?
1541,"раздвинуть; растолкать",удаку-араку,туда-сюда,уда́ку-а́раку,уда́ку-а́раку биси́ (букІа́й)
1542,разойтись (о толпе),удаку-араку,туда-сюда,уда́ку-ара́ку ,уда́ку-ара́ку наъи́
1543,бежать врассыпную,удаку-араку,туда-сюда,уда́ку-ара́ку ,уда́ку-ара́ку чІчІа́рди
1544,разнуздаться,хеа,в рот//во рту,хе́ку,хе́ку бе́рхин борчІи́
1545,сорвалось с языка,хеа,в рот//во рту,хе́ку,хе́ку бо́рчІа
1546,изустный,хеа,в рот//во рту,хе́ку,хеку хе букIихаб
1547,Нижний Ботлих находится недалеко от верхнего Ботлиха,Гье́ку,Верхний Ботлих,гьēкуку,гьēкуку гьикьикьа чІчІи́ду микъи гучІи
1548,выхватить (из рук),кваду,"нареч. со знач. в руках; в руке (прям. и пе-рен.)",квадуку,ква́дуку бухи́
1549,"забыть; вылететь из головы",ми́къа,"на голове; на голову",ми́къаку,ракІваре́ку ма́ъи // ми́къаку ма́ъи
1550,через голову (действовать),ми́къа,"на голове; на голову",ми́къаку,ми́къаку ка́нцІи
1551,забывчивость,ми́къа,"на голове; на голову",ми́къаку,ми́къаку на ма́ъир
1552,забывчивый,ми́къа,"на голове; на голову",ми́къаку,ми́къаку на ма́ъихо (-ай; -аб; -ал)
1553,"гладить; ласкать",ми́къа,"на голове; на голову",ми́къаку,ми́къаку ре чи
1554,выгнать со службы,муса,место,муса́ку,игьалъа́б муса́ку чIчIарда́й
1555,заздравный,unclear,unclear,савлухъалда́ку,савлухъалда́ку гьатахо́б
1556,отец из поездки вернулся с пустыми карманами,ссапар,поездка,ссапаралда́ку,и́ма ссапаралда́ку вечІу́ла-векъу́да гьи́нгъва
1557,убежать из тюрьмы,туснахъ,тюрьма,туснхъалда́ку,туснхъалда́ку чIчIарди́
1558,выбыть из города,шагьар,город,шагьаралда́ку,шагьаралда́ку батІа́ ваъи́
1559,обоюдоострый,рахъи,сторона,рахъи́дику,кІе́дела рахъи́дику багьиха́б
1560,"зайти; выйти справа",рахъи,сторона,ра́хъидику,битІигъа́б ра́хъидику вулІи́
1561,идти дорогами побед,ми́къи,дорога,ми́къидуку,ни́ширлъи ми́къидуку наъи
1562,мать вернулась с базара?,базар,рынок,база́реку,и́ла база́реку гьи́нгъама?
1563,завернуть за угол,бекIун,угол,бекIунеку,бекIунеку гьи́на сса́рди
1564,выйти из школьного возраста,unclear,?,гIе́леку,раъа́рлъи гIе́леку на́ъи
1565,(вы)гнать из дому,гьанкъу,"дом; комната",гьа́нкъеку,гьа́нкъеку вута́й // ишхъе́ку вута́й
1566,выкурить кого-л. из дому,гьанкъу,"дом; комната",гьа́нкъеку,ццура́лади гьа́нкъеку о́рсса чIчIа́рдай
1567,от него одни неприятности,гьущý,3sg.M,гьущу́йеку,гьущу́йеку цеб хъваъа́б зив гьагъе́вчIи
1568,из-за границы,дунел,"земля; мир; свет; вселенная",дуне́леку,гье́кІуб дуне́леку
1569,с вашего позволения,изну,разрешение,и́знуйеку,дуб и́знуйеку
1570,"Когда я шёл по тёмной улице; вспыхнул свет",къватIи,улица,къватІеку,Ден боццу къватІеку велълъа; кІоруду ква́нар пархаду
1571,"глушить; приводить в бесчувствие",лъайе,"нареч. в сознании; наяву",лъа́еку,лъа́еку ва́нъай
1572,"лишиться чувств; упасть в обморок; выключиться (о памяти)",лъайе,"нареч. в сознании; наяву",лъа́еку,лъа́еку ва́ъи
1573,"обморок; обморочное состояние; забытье;",лъайе,"нареч. в сознании; наяву",лъа́еку,лъа́еку ва́нъир
1574,"неметь; терять чувствительность; цепенеть",лъайе,"нареч. в сознании; наяву",лъа́еку,лъайе́ку маъи́ 
1575,пальцы немеют от холода,лъайе,"нареч. в сознании; наяву",лъа́еку,саъи́рлъи кута́кади гьецІибалъи лъайе́ку маъи́ бе́лълъа и́да
1576,обеспамятеть (от испуга),лъайе,"нареч. в сознании; наяву",лъа́еку,лълъайе́ку ваъи́
1577,воспрянуть ото сна,макьу,сон,ма́кьеку,ма́кьеку во́рчIи
1578,взойти по лестнице,мигьур,лестница,мигьуреку,мигьуреку хха́рди
1579,сердцевина выгнила,ракIва,"сердце; душа",ракІва́реку,ракІва́реку та́мду
1580,слезть с дерева,ру́ша,дерево,ру́шеку,ру́шеку гьи́кьа ву́лълъи
1581,с ног до головы,цIекIа,нога,цІе́кІеку,цІе́кІеку ми́къа ба́цІидера
1582,самолёт взлетел с площадки,байдан,"ровное место; поляна; площадь; поле",байдане́ку,байдане́ку самолёт бу́рду 
1583,чабаны спустились с гор,бēл,гора,беле́ку,беле́ку харашу́рди гьикьа́ и́ргъа
1584,выйти из доверия,бужи>бужир,доверие,бужире́ку,бужире́ку ванъи́р
1585,идти по лугу,гъурда,"луг; лужок",гъурде́ку,гъурде́ку релълъи́
1586,при выходе из дому,гьанкъу,"дом; комната",гьанкъе́ку,гьанкъе́ку о́рсса ву́лълъата кІа́руди
1587,возиться с хозяйством,гьанкъу,"дом; комната",гьанкъе́ку,гьанкъе́ку гьерда́ жу́ржа-гъургъалъи́
1588,влезть в окно,гьингур,окно,гьингуре́ку,гьингуре́ку гьи́на ва́ъи
1589,правонарушитель,зако́н,закон,законе́ку,законе́ку ва́нъо гье́кІва
1590,потирать,заман,"время; пора",зама-замане́ку,зама-замане́ку лIурлІади́
1591,(вы)гнать из дому,иши,нареч. в значении в доме,ишхъе́ку,гьа́нкъеку вута́й // ишхъе́ку вута́й
1592,пройти по мосту,кьи́ри,мост,кьире́ку,кьире́ку ваъи́
1593,по пути,ми́къи,дорога,микъе́ку,цеб микъе́ку
1594,выпустить из заключения,муса,место,мусеку,гьи́на тІа́маб мусе́ку о́рсса ве́шди
1595,вылазка,муса,место,мусеку,ра́кьа сса́рдаб мусе́ку о́рсса во́рчIир
1596,изорвать,муса,место,муси-мусе́ку,муси-мусе́ку хъабхъада́й
1597,изорваться,муса,место,муси-мусе́ку,муси-мусе́ку хъабхъади́
1598,"уволиться; уйти с работы",му́ху,"труд; работа",мухеку,мухе́ку батIа́ вулІи́
1599,выгнать с работы,му́ху,"труд; работа",мухеку,мухе́ку вута́й
1600,выгнать с работы,му́ху,"труд; работа",мухеку,мухе́ку йа́рай
1601,снять с работы,му́ху,"труд; работа",мухеку,мухе́ку рухи́
1602,нетрудовой доход,му́ху,"труд; работа",мухе́кугучІаб,мухе́кугучІаб хайи́р 
1603,вытереть пыль со стола,устур,стол,осторе́ку,осторе́ку да́да лълъа́рди
1604,"забыть; вылететь из головы",ракIва,"сердце; душа",ракІваре́ку,ракІваре́ку ма́ъи // ми́къаку ма́ъи
1605,выветриться из памяти,ракIва,"сердце; душа",ракІваре́ку,ракІваре́ку ма́ъи
1606,обдёргать листья с деревца,ру́ша,дерево,руше́ку,руше́ку гIа́ли кьаркьади́
1607,"завидеть; увидеть издали",чIчIидур,даль (> (ЧIЧIИДУРÁХИ//ЧIЧIИДУРÁХА -далеко)),чIчIидуре́ку,чIчIидуре́ку гьагъи́
1608,вдали звучат голоса,чIчIидур,даль,чIчIидуре́ку,чIчIидуре́ку гьарчIчIа́балъи а́гьата и́да
1609,издали отдаются голоса,чIчIидур,даль,чIчIидуре́ку,чIчIидуре́ку гьарчIчIа́балъи бе́хъвата и́да
1610,воздушный поцелуй,чIчIидур,даль (> (ЧIЧIИДУРÁХИ//ЧIЧIИДУРÁХА -далеко)),чІчІидуре́ку,чІчІидуре́ку ободи́р
1611,на глаза навернулись слёзы,гьай>гьа.ди/гьарде,глаз>на глазах/наяву,гьади́ку,гьади́ку ма́гъа бу́хху
1612,проглядеть,гьай>гьа.ди/гьарде,глаз>на глазах/наяву,гьа́рдукьику,гьа́рдукьику борчІи́
1613,потерять из виду,гьай>гьа.ди/гьарде,глаз>на глазах/наяву,гьа́рдукьику,гьа́рдукьику вити
1614,"выгородить; избавить от обвинения",джаваб,ответ,жава́бакьику,жава́бакьику во́рчIай
1615,вывести из беды,къвари́лъи,"горе; беда",къвари́лъикьику,къвари́лъикьику во́рчIай
1616,выпутаться из беды,къвари́лъи,"горе; беда",къвари́лъикьику,къвари́лъикьику во́рчIи
1617,"выгородить; избавить от неприятностей",къвари́лъи,"горе; беда",къвари́лъичIукьику,къвари́лъичIукьику во́рчIай
1618,из-за туч выглянуло солнце,гьира,тучи,гьиралакьи́ку,ми́гьи гьиралакьи́ку о́рсса бу́хху
1619,вода выплескалась из ведра,видра,ведро,видра́лIуку,видра́лIуку лIе́ни чва́рхаду ча́бду
1620,встать с постели,бешен,"гнездо; постель",бешеналIу́ку,бешеналIу́ку гьирчIчIи́
1621,выволочь мешки из подвала,падва́л,подвал,падвалалIу́ку,падвалалIу́ку къегье́малъи о́рсса хъу́рду хи
1622,вспылить,бакьа-булIи,вмешиваться,букІабу́лІуку,букІабу́лІуку сси́ми къвара́й
1623,вспылить из-за пустяков,бакьа-булIи,вмешиваться,букІабу́лІуку,э́бхвала бегъи́хичІаб на саъа́бу букІабу́лІуку гьи́рчІчІу ссими къвара́й
1624,"вылезти; выкарабкаться из ямы",до́нги,яма,до́нгилІуку,до́нгилІуку о́рсса хха́рду гъи
1625,вылезти из оврага,къватIа,ущелье,къватІа́лІуку,къватІа́лІуку о́рсса хха́рду ми́къи бу́хи
1626,говорить в нос,ми́ъар,нос,миъара́лІуку,миъара́лІуку гулаталъи
1627,Я сегодня пил воду из автомата,автамат?,автомат,автаматилъику,Ишкур эгьел автаматилъику лълъени худу
1628,демобилизовать,а́рми,армия,а́рмилъику,а́рмилъику ишхъа́ ве́шди
1629,демобилизация,а́рми,армия,а́рмилъику,а́рмилъику ишхъа́ ве́шдир
1630,подбрить,бай>ба́йбалъи,край,ба́йбалъику,ба́йбалъику кIкIанди́
1631,"обрезать; отрезать с краю",ба́й,край,ба́йлъику,ба́йлъику букъи́
1632,внематочная беременность,гьанкъу,"дом; комната",гьа́нкъкулъику,гьа́нкъкулъику гу́чІаб макІил ру́лълъир
1633,выловить бревно из реки,и́нсса,река,и́нссалъику,и́нссалъику ко́ми бикки́
1634,за порог ни ногой,кIартIу,"порог;вход; проём",кIартIу́лъику,кIартIу́лъику гьи́на га́ли бухабасси́
1635,превышение власти,кверще́л/кверще́ллъи,"власть (АА; 323)",кверще́ллъичІуку,букIи букIихаб кверще́ллъичІуку гьеку ва́ъи
1636,"срубить сук; ветку с бревна",ко́ми,бревно,ко́милъику,ко́милъику чІа́хъвалъи на букъи́
1637,вынырнуть,лълъе́ни,вода,лІе́нилъику,лІе́нилъику о́рсса ву́хи
1638,высадить из машины,машина,машина,маши́налъику,маши́налъику о́рсса ву́лълъай
1639,вылезти из легкового автомобиля,машина,машина,маши́налъику,зу́кІкІу маши́налъику о́рсса ву́лълъи
1640,гнусавый,миар(ми́ъар)>миарда,нос>носы,ми́ардалъику,ми́ардалъику гу́лата вагьихо́
1641,выйти из моды,мо́да,мода,мо́далъику,мо́далъику маъи́
1642,вшивость,нацIцIи,вошь,на́цIцIалъику,на́цIцIалъику тIе́рхьи
1643,"завшивевший; завшивленный",нацIцIи>нацIцIалъи,вошь>вшивый,на́цIцIалъику,на́цIцIалъику чIи́ндо
1644,вырваться из плена,пеле́н,плен,пе́леналъику,пе́леналъику во́рчIи 
1645,"задуматься; предаться размышлениям",пикру > пи́крулъи,мысль > мысли,пи́крулъику,пи́крулъику тІе́рхьив вукІи́
1646,вернуться с войны,рагъ,"война; бой; фронт",ра́гъилъику,ра́гъилъику вессу́ха ви́ши
1647,дезертировать,рагъ,"война; бой; фронт",рагъилъику,ра́гъилъику чIчIа́рди
1648,дезертирство,рагъ,"война; бой; фронт",рагъилъику,ра́гъилъику чIчIа́рдир
1649,передать по радио,радивал,радио,ра́дивалъику,ра́дивалъику икки́
1650,слушать передачу по радио,радивал,радио,ра́дивалъику,ра́дивалъику переда́чахи гьантІу́кІа рикки́
1651,выбраться из леса,ру́хьу,лес,рухьулъику,рухьулъику о́рсса во́рчIи (микъи ххи)
1652,выйти из лесу,ру́хьу,лес,ру́хьулъику,ру́хьулъику о́рсса рулълъи́
1653,ежесекундный,ссику́нд,секунда,ссе́кундалъику,ссе́кундалъику-ссе́кундалъа букІихаб 
1654,измениться в лице,хху́нххул,лицо,хху́нххулалъику,хху́нххулалъику хиси́
1655,с лица некрасив,хху́нххул,лицо,хху́нххулалъику,хху́нххулалъику чиква́р гучІо́
1656,с виду ему мало лет,хху́нххул,лицо,хху́нххулалъику,хху́нххулалъику гьущу́б реше́ аса́р и́да
1657,держаться за талию,бакьа́р,"поясница; талия",бакьаралъи́ку,бакьаралъи́ку бикки́
1658,обхватить дерево,бакьа́р,"поясница; талия",бакьаралъи́ку,ру́ша бакьаралъи́ку бикки́ 
1659,идти по грязи,би́ччи,грязь,бичилъи́ку,бичилъи́ку релIи́
1660,правонарушение,зако́н,закон,законалъи́ку,законалъи́ку на́ъир
1661,издревле,заман,"время; пора",заманалъи́ку,ссе заманалъи́ку бе́лълъу
1662,с давних пор,заман,"время; пора",заманалъи́ку,ссе заманалъи́ку белълъа́б
1663,с некоторого времени,заман,"время; пора",заманалъи́ку,эшубхва́да заманалъи́ку белълъа́б
1664,извлечь пулю из тела,лага,тело,лагилъи́ку,лагилъи́ку гула́ о́рсса бухи́
1665,выйти сухим из воды,лълъе́ни,вода,лълъенилъи́ку,лълъенилъи́ку аржайчIа́да во́рчIи
1666,"озолотить; позолотить",мисиди,золото,мисидалъи́ку,мисидалъи́ку тIерхьа́й
1667,последние известия по радио,радивал,радио,радивалъи́ку,радивалъи́ку цIинв на а́нгьайр
1668,"наспиртоваться; пропитаться спиртом",unclear,спирт,ссппиртилъи́ку,ссппиртилъи́ку бегъи́
1669,переговорить по телефону,телепо́н,телефон,телепоналъи́ку,телепоналъи́ку гулаталъи́
1670,"на извлечение; выдержка; выписка",хъуча,книга,хъучилъи́ку,хъучилъи́ку хъварда́б
1671,смотреть через очки,unclear,очки,цIцIороберде́лъинуку,цIцIороберде́лъинуку хъиди́
1672,"всплыть; появиться из-под воды",лълъе́ни,вода,лълъенилъи́нуку,лълъенилъи́нуку буххи́
1673,всплытие,лълъе́ни,вода,лълъенилъи́нуку,лълъенилъи́нуку бу́ххир
1674,подводный (о машинах),лълъе́ни,вода,лълъенилъи́нуку,лълъенилъи́нуку хьвадиха́б
1675,ехать через город,шагьар,город,шагьарилъи́нуку,шагьарилъи́нуку ваъи́
1676,"а) разрезать; б) разрубить (посредине)",бакьи,середина ,бакьи́лълъаку,бакьи́лълъаку букъи́
1677,он потягивал дым из трубки,unclear,трубка,турбалалълъику,гов цу́ри турбалалълъику гандата вукIкIа
1678,выкурить лису из норы,баган,"нора; дыра; отверстие; щель",багана́лълъуку,ццура́лади са́ри багана́лълъуку о́рсса бу́тай
1679,"если из 3-х вычесть 2; останется 1",гьабуда,три,гьа́будалълъуку,гьа́будалълъуку кІе́да буха́ла цеб беххве́
1680,пить из кувшина,муцIцIу/муцIцIе,кувшин_в_люльке(для сбора мочи)/ куршин,муцIцIилълъуку,муцIцIилълъуку ххуди 
1681,платок выпал из кармана,чанта́,"карман; сума",чанта́лълъуку,чанта́лълъуку о́рсса йе́влухъ бу́кку
1682,птичка вылетела из гнезда,бешен,"гнездо; постель",бешеналълъу́ку,щики́б бешеналълъу́ку о́рсса бу́рду
1683,Мать из Грузии апельсины привезла,unclear,Грузия,Гуржи́йалъуку,Илу́ди Гуржи́йалъуку апилси́н гьи́бгъва
1684,скрыться из вида,гьагъихаб,NA(видимый?сх),гьа́гъихабулъуку,гьа́гъихабулъуку ви́ти
1685,завраться,гьеберсси>гьеберссабалъи,ложь>ложь.PL,гьеберссабалъилъуку,гьеберссабалъилъуку къинди
1686,вынуть письма из почтового ящика,йашикI ,ящик,йа́щикІалъуку,пу́чилъи йа́щикІалъуку кагъата́балъи бухи́
1687,высыпать землю из мешка,къегьен,мешок,къегьеналъу́ку,къегьеналъу́ку у́нщи бечІу́й
1688,скинуть снег с крыши,амбур,крыша,амбу́руку,амбу́руку а́нзи била́й
1689,выкатить бочку из сарая,бе́кьи,"хлев; сарай",бе́кьуку,бе́кьуку о́рсса пучка́ барахха́й
1690,"завести; доставить мимоходом",ми́къи,дорога,микъуку́да,микъуку́да вацIа́й
1691,достать по пути,ми́къи,дорога,ми́къукуда,ми́къукуда ба́цIай
1692,"занести; доставить мимоходом",ми́къи,дорога,ми́къукуда,ми́къукуда бацІа́й
1693,завезти,ми́къи,дорога,ми́къукуда,ми́къукуда мугъа́й
1694,с боку на бок,гъи́жи,бок,гъи́жихику,цеб гъи́жихику цебла гъи́жилъа
1695,летать на большой высоте,гьеъе́хи,"наверху; выше",гьеъе́хику,ру́хІиди гьеъе́хику бурди́
1696,"Когда я открыл окно; лунный свет падал в комнату",гьингур,окно,гьингурахику,Ишкур гьингур хвабдаруди пурцIцIу́лалъи ква́нар гьингурахику гьина баха
1697,"выглянуть в окно; появиться в окне",гьингур,окно,гьингура́хику,гьингура́хику о́рсса буххи́
1698,выброситься из окна,гьингур,окно,гьингура́хику,гьингура́хику гьикьа́ кIа́нцIи
1699,выглянуть в окошко,гьингур,окно,гьи́нгура́хику,гьи́нгура́хику о́рсса хъи́ди
1700,"говорить гнусаво; гнусавить; гнусить",миар(ми́ъар)>миарда,нос>носы,ми́ардахику,ми́ардахику гу́латалъи
1701,промямлить,ми́ъар,нос,ми́ъардахику,ми́ъардахику кьи
1702,"объесться; наесться",миар(ми́ъар)>миарда,нос>носы,миъа(р)дахи́ку,миъа(р)дахи́ку буххиде́ра гъамди́
1703,(у)бежать из дому,иши,нареч. в значении в доме,ишхъе́ку,ишхъе́ку чIчIарди́
1704,прыгнуть через стену,къинда,стена,къинда́чIвеку,къинда́чIвеку кIанцІи́
1705,махнуть через забор,къинда,стена,къиндачIве́ку,къиндачIве́ку кIа́нцIу ваъи́
1706,"всепобеждющий;",тIоргу>тIоргудалуб,все>все.GEN,тIоргу́далучIику,тIоргу́далучIику виншихо́
1707,лишить денег,арси,деньги,а́рсичIуку,а́рсичIуку батIалъа́й
1708,перевыполнить,букки>буккихаб>буккихаблI,"падать; повесить>подходящий>",буккихаблIчIуку,буккихаблIчIуку тIопа́й
1709,"лишиться сына; потерять сына",ва́ша (вашащу́),сын (сына),вашащу́чIуку,вашащу́чIуку батIалъи́
1710,я горжусь свои сыном,ва́ша (вашащу́),сын (сына),вашащу́чIуку,див вашащу́чIуку ден чIу́хIо и́да
1711,покинуть этот бренный мир,гIу́мру,жизнь,гIумуручIуку,гIумуручIуку батIалъи
1712,лишить жизни,гIу́мру,жизнь,гIу́муручIуку,гIу́муручIуку ватIа́йлъай
1713,лишиться жизни,гIу́мру,жизнь,гІу́муручIуку,гІу́муручIуку батIалъи́
1714,сойти с осла,гьамахи,осел,гьамахичIуку,гьамахичIуку ре́шкуй
1715,отдалить сына от товарищей,гьуду́л>гьудулзабалъи,друг>друзья,гьпмалигъзабалъи́чIуку,гьпмалигъзабалъи́чIуку ва́ша чIчIида́й
1716,ему попало от отца,има,отец,иму́чIуку,гощу́й иму́чIуку ба́цIа
1717,оберегать детей от болезни,кIвахIалир,болезнь,кIвахIали́рчIуку,макIи́л кIвахIали́рчIуку цIимди́
1718,сойти с коня,кIату,конь,катIу́чIуку,катIу́чIуку ре́шкуй
1719,сойти с машины,машина,машина,машиначIуку,машиначIуку ре́шкуй
1720,избегать чего-л.,unclear,,налІичIуку,цеб налІичIуку цIимди́
1721,воздержаться,unclear,,палIи́чIуку,цеб палIи́чIуку вигъи
1722,воздерживание,unclear,,палIи́чIуку,цеб па́лIичIуку вигъир
1723,"вылететь; выскочить из головы",ракIва,"сердце; душа",ракIва́рчIуку,ракIва́рчIуку (// ракIва́реку // ра́кIвареку) ма́ъи
1724,лишить слова,раша,слово,рашу́чIуку,рашу́чIуку батIалъа́й
1725,два часа с лишним,ссагIат,час,сагIа́тачIукула,кIеда сагIа́тачIукула э́кIу
1726,уберечь от простуды,unclear,простуда,саи́рчIуку,саи́рчIуку цIимди́
1727,победить врага,тушман,"недруг; враг; неприятель",тушмана́чIуку,тушмана́чIуку ви́ннши
1728,огнеопасный,цІай,огонь,цIа́йчIуку,цIа́йчIуку гьибда́й
1729,вне города,шагьар,город,шагьарачIуку,шагьарачIуку орссу
1730,Сколько берут с человека?,ада́м,человек,ада́мичIу́ку,Эшдала хе ада́мичIу́ку?
1731,мы отделились от толпы,халкъ,народ,халкъичIу́ку,и́щи халкъичIу́ку ри́тIу
1732,мост через реку,и́нсса,река,инсса́чІвеку,инсса́чІвеку кьи́ри
1733,прыгнуть через реку,инххи,"река; ручей",инххи́чІвеку,инххи́чІвеку кІанцІи́
1734,огладить лошадь,кІату,лошадь,кІатучІве́ку,кІатучІве́ку ре лIарди́
1735,встать со стула,макIва,"стул; табуретка",макIва́чІеку,макIва́чІеку гьала́ гьи́рчIчIи
1736,Терпеть не могу блондинок,ада́м,человек,ада́мичІуку,гьа́цIах-ба́салъи йеши́кIва ада́мичІуку йи́нхихай адам лъичІи
1737,выйти из самолёта,алипулан,аэроплан,алипула́начІуку,алипула́начІуку гьи́кьа ву́лълъи // самалётачІуку о́рсса ву́лълъи
1738,бомбоубежище,бомба?,бомба,бо́мбачІуку,бо́мбачІуку цІимда́б му́са
1739,вылечить от холеры,вабагI,холера,ваба́гІачІуку,ваба́гІачІуку чада́й
1740,выйти из вагона,ваг(.)н,вагон,ваго́начІуку,ваго́начІуку гьикьа́ ву́лълъи
1741,я от него еле отвязался,гощуб,он (р.п.),гощучӀуку,ден гощу́чІуку хІалади́ во́рчIо
1742,Я случайно проглотил абрикосовую косточку,ден>диб/дий,я,дичӀуку,ДичІуку кIкIуркIкIу́налъи гага микІкІу мана бегъичІада
1743,что ты хочешь от помочившейся коровы,зини,корова,зи́начІуку,дуй беччиква́б зи́начІуку къоро́хоб е́бхула
1744,узнать от отца,има,отец,иму́чІуку,иму́чІуку бегъи
1746,вывернуться из беды,къвари́лъи,"горе; беда",къвари́лъичІуку,къвари́лъичІуку во́рчIи
1747,затишье,мучу,ветер,мучу́лачІуку,мучу́лачІуку цІида́б му́са
1748,он раскаялся в содеянном,на,"вещь; предмет; явление",нā́лъичІуку,нā́лъичІуку ра́кІва би́чІа
1749,"слезть с поезда; 2. поступить; вступить (в организацию)",поезд,поезд,по́ездачІуку,по́ездачІуку гьикьа́ ву́лълъи
1750,выйти из самолёта,самалёт,самолёт,самалётачІуку,алипула́начІуку гьи́кьа ву́лълъи // самалётачІуку о́рсса ву́лълъи
1751,"окосеть; опьянеть",unclear,,ссу́нтIичІуку,ссу́нтIичІуку ватІалъи́
1752,"а) старший сын отделился от семьи; а) старший сын разошелся с семьей",хъизан,семья,хиза́начІуку,ва́ша хиза́начІуку батIалъи́в
1753,высвободить ногу из стремени,хIатIикIан,путы для животных,хІатІи́кІаничІуку,хІатІи́кІаничІуку цІе́кІа борчIа́й
1754,бояться огня,цІай,огонь,цІа́йчІуку,цІа́йчІуку гьибди́
1755,"а) на глазах выступили слёзы; б) глаза слезятся",гьай>гьа.ди/гьарде,глаз>на глазах/наяву,гьа́дику,гьа́дику ма́гъа бу́хху
1756,лед на реке местами оттаял,и́нсса,река,инсачIу,инсачIу гьеассуб зари мусе-мусеку бицIа ида
1757,лед на реке местами оттаял,гьеа/гье,наверху/на,гьеассуб,инсачIу гьеассуб зари мусе-мусеку бицIа ида
1758,лед на реке местами оттаял,муса,место,мусе-мусеку,инсачIу гьеассуб зари мусе-мусеку бицIа ида
1759,я часто вижу тебя во сне’,макьу,сон,макьилъи,дY бекъа-бекъа гьагъе мин макьилъи 
1762,в авторучке кончились чернила,абтаручка,авторучка,абтаручкалъи,абтаручкалъи щакъи бичIа
1763,работать в аптеке,абтека,аптека,абтекалъи,абтекалъи игьалъи
1764,говорили о его жизнерадостности,аваданабир,жизнерадостность,аваданабирлъи,аваданабирлъи масата букIа
1765,в августе косят сено,август,август,августалъи,августалъи хханде гьунчIа
