Context,Context_Lemma
ходить; задрав голову,"задирать голова
"
очень высокое дерево (букв. доходящее до неба),"очень высокий дерево доходить до
"
очень высокий человек,"очень высокий человек
"
а) поднять до небес б) восхвалить (расхвалив; возвысить до небес),"подымать до небо восхвалять возвышать до
"
спешиться с машины ,"спешиваться с машина
"
ты загнал телят в хлев?,"ты загнать теленок в
"
грешить (букв. попасть под грех),"грешить попадать под
"
скажи ему; чтоб был осторожен,"сказать чтоб быть осторожный
"
я насел на него,"я наседать на он
"
шкуру застелили на пол,"шкура застилать на пол
"
из-под фундамента (основания) сарая пробилась вода,"фундамент сарай пробиваться вода
"
ты гулять иди; но не запаздывай домой,"ты гулять но не запаздывать домой
"
неожиданно он приехал домой,"неожиданно он приезжать домой
"
ушла домой; собрав все вещи,"уходить собирать весь вещь
"
пригласить домой (на званый обед),"приглашать домой званый
"
детей распустили по домам,"ребенок распускать по дом
"
отпусти его домой,"отпускать его домой
"
отпусти его домой,"отпускать его домой
"
отодвинуть назад,"отодвигать назад
"
отодвинуть (что-л.) назад,"отодвигать назад
"
с твоим приходом в моем доме нарушился порядок ,"с твой приход в мой дом нарушаться порядок
"
вернуть домой,"вернуть домой
"
я попал домой как раз к трапезе,"я попадать домой как раз к трапеза
"
оттащить назад,"оттаскивать назад
"
посмотрим отныне,"посмотреть отныне
"
до дома,"до дом
"
от начала до конца ,"от начало до конец
"
прокл. да пошла (ты) в огонь ада!,"да пойти в огонь
"
средь бела дня вернулись коровы домой,"средь бел день вернуться корова домой
"
приводить домой,"приводить домой
"
пойти домой,"пойти домой
"
отпустить домой,"отпускать домой
"
привести домой,"приводить домой
"
отнести домой,"относить домой
"
я вернулся домой когда рассвело,"я вернуться домой когда рассветать
"
с утра ни крошки хлеба не было во рту,"с утро ни крошка хлеб не быть во рот
"
эй; иди домой!,"идти
"
идти домой,"идти домой
"
скот возвращается домой под вечер,"скот возвращаться домой под вечер
"
чтоб ты сдох (букв. чтоб тебя носилки (на носилках) привезли домой),"чтоб ты сдыхать чтоб ты носилки привозить
"
с давних пор я думал об этом,"с давний пора я думать об это
"
с давних пор я думал об этом,"с давний пора я думать об это
"
с давних пор я думал об этом,"с давний пора я думать об это
"
воротились домой,"воротиться домой
"
вернуть домой,"вернуть домой
"
ему передали; чтоб пришел домой,"он чтоб приходить домой
"
ему передали; чтоб пришел домой,"он чтоб приходить домой
"
а) не оглядываясь б) перен. необдуманно,"не оглядываться необдуманно
"
я поеду домой через несколько дней,"я поехать домой через несколько день
"
я поеду домой через несколько дней,"я поехать домой через несколько день
"
прыгнуть в огонь,"прыгнуть в огонь
"
а) положить в огонь (напр. дрова);б) поставить на огонь (для варки),"полагать в огонь поставлять на огонь
"
бросить в огонь,"бросать в огонь
"
положить в огонь (в топку) уголь,"полагать в огонь уголь
"
Ихариха,"ихариха
"
Чулаха,"чулах
"
ни разу к нам не пришла,"ни раз к мы не приходить
"
иногда к нам наведываются гости,"иногда к мы наведываться гость
"
вернуть с дороги,"вернуть с дорога
"
я часто бываю у матери ,"я часто бывать у мать
"
я получил твою посылку ,"я получать твой посылка
"
в горы ,"в гора
"
в горах,"в гора
"
приглашать в гости,"приглашать в гость
"
подходить к больному,"подходить к больной
"
навестить больного,"навещать больной
"
к нам гости пришли пешком,"к мы гость приходить пешком
"
резать ткань в длину,"резать ткань в длина
"
стелить ковер в длину,"стелить ковер в длина
"
пилить вдоль ,"пилить вдоль
"
отправь брату письмо,"отправлять брат письмо
"
насыпать муку по мешкам,"насыпать мука по мешок
"
придвинуть к стенке,"придвигать к стенка
"
к вам поступила телеграмма?,"к вы поступать
"
передай ему эту сумку,"передавать он этот сумка
"
стать иждивенцем кого-л. (букв. к чужим попадаться),"становиться иждивенец к чужой
"
дайте мне причитаущуюся сумму,"давать я причитаущийся сумма
"
он иногда появляется у нас,"он иногда появляться у мы
"
я должен его навестить ,"я должный он навещать
"
иногда я навещаю товарища,"иногда я навещать товарищ
"
иногда я навещаю родственников,"иногда я навещать родственник
"
смотри; не ходи к ним; у них злая собака!,"не ходить к у они злой
"
смотри; не ходи к ним; у них злая собака!,"не ходить к у они злой
"
навестить друзей,"навещать друг
"
пешком обошел я летом все окрестные села,"пешком обходить я лето весь окрестный садиться
"
в селении ночью засветились лампы,"в селение ночь засвечиваться лампа
"
оттуда до нас два километра,"оттуда до мы два километр
"
много людей из Грозного переселились в Ингушетию,"много человек из грозный переселяться в ингушетия
"
сколько метров в ширину?,"сколько метр в
"
измерить в ширину,"измерять в ширина
"
отрезать поперек,"отрезать поперек
"
ковер застелили по ширине комнаты,"ковер застилать по ширина комната
"
приходи к нам,"приходить к мы
"
перевернуться на бок,"перевертываться на бок
"
лежать на боку,"лежать на бок
"
ну; дам я тебе коня; садиться хоть сможешь? ,"давать я ты садиться хоть
"
намеревался прийти к тебе,"намереваться приходить к ты
"
больше всего скучаю по детям;,"больше все скучать по
"
сперва навести мать ,"сперва наводить мать
"
родственников нужно навещать,"родственник нужно навещать
"
они вас навещают? ,"они вы
"
этих отправь ко мне,"этот отправлять ко я
"
он сагитировал меня навестить друзей,"он сагитировать я навещать друг
"
нельзя много спорить,"нельзя много спорить
"
передать завхозу,"передавать завхоз
"
время от времени он приходит к нам,"время от время он приходить к мы
"
время от времени он приходит к нам,"время от время он приходить к мы
"
послать к заместителю,"посылать к заместитель
"
он ежедневно навещает нас,"он ежедневно навещать мы
"
к нам пришла теща ,"к мы приходить теща
"
у нас остановился гость (кунак),"у мы останавливаться гость
"
он останавливается у нас,"он останавливаться у мы
"
тесть пришел к нам в гости,"тесть приходить к мы в гость
"
тесть пришел к нам в гости,"тесть приходить к мы в гость
"
до какого времени ты мне даешь инстру-менты?,"до какой время ты я давать
"
никогда к вам не приеду,"никогда к вы не приезжать
"
они говорили; что к ним приехали артисты,"они что к он приезжать артист
"
они сказали; чтобы отправили к ним,"они чтобы отправлять к они
"
отовсюду он получает письма,"отовсюду он получать письмо
"
брат сказал; чтоб дали ему (что-либо),"брат чтоб давать он
"
никакой книги ты мне не давал,"никакой книга ты я не давать
"
он заплатил мне пятерками,"он заплатить я пятерка
"
к нам поступило письмо,"к мы поступать письмо
"
её ругань была слышна далеко,"ее ругань быть слышный далеко
"
идти к свету,"идти к свет
"
читать книгу на свету,"читать книга на свет
"
послов. нехозяйственный человек (букв. курица; которая кудахчет дома; а несется у соседа),"нехозяйственный человек который кудахтать а нестись у
"
послов. нехозяйственный человек (букв. курица; которая кудахчет дома; а несется у соседа),"нехозяйственный человек который кудахтать а нестись у
"
она реже стала посещать нас,"она редко становиться посещать мы
"
ты редко стал навещать нас,"ты редко становиться навещать мы
"
он редко приходит к нам,"он редко приходить к мы
"
я пришла к вам по делу; по необходимости ,"я приходить к вы по по необходимость
"
бран. незаконнорожденный; выродок,"выродок
"
и вторично приходил я к тебе;,"и вторично приходить я к
"
дважды заходила я к тебе,"дважды заходить я к ты
"
подпрыгнуть; подскочить,"подскакивать
"
я пришла к тебе вторично,"я приходить к ты вторично
"
ртуть разлилась,"ртуть разливаться
"
к нему пришла известность,"к он приходить известность
"
распределять детей по классам,"распределять ребенок по класс
"
корова лягалась,"корова лягаться
"
конь лягается,"конь лягаться
"
к тебе отец пришёл? ,"к ты отец
"
задержи его в классе; пока решит задачу,"задерживать он в пока решать задача
"
с какой целью ты к нам пришёл?,"с какой цель ты к мы
"
принять на работу,"принимать на работа
"
он изредка приходит к нам,"он изредка приходить к мы
"
среди травы редко попадаются цветки,"среди трава редко попадаться цветок
"
брось эту вещь ко мне,"бросать этот вещь ко я
"
не веди себя как младенец,"не вести себя как младенец
"
просил; упав на колени; просил на коленях ,"упасть на просить на колено
"
платье до колен (букв. до колен дошедшее платье),"платье до колено до колено доходить
"
танцевать от души (букв. танцевать на коленях),"танцевать от душа танцевать на
"
он идет в рост (материально); ему везет (букв. его арба идет вверх),"он идти в рост он везти его арба идти
"
не лапай,"не лапать
"
ваша собака приручилась ко мне,"ваш собака приручаться ко я
"
были у матери,"быть у мать
"
пошли со мной к соседям,"пойти со я к сосед
"
пошли со мной к соседям,"пойти со я к сосед
"
поверни это ко мне ,"повертывать это ко я
"
он повернулся к окну,"он повертываться к окно
"
в гостях нельзя сильно пьянеть ,"в гость нельзя сильно пьянеть
"
он увлекся одной особой (женщиной) ,"он увлекаться один особа
"
сделай (так); чтобы она обратила на меня внимание,"сделать чтобы она обращать на я внимание
"
смотреть на горы,"смотреть на гора
"
не кроши хлеб на пол,"не крошить хлеб на пол
"
весной к нам прилетели лебеди,"весна к мы прилетать лебедь
"
идти в гости,"идти в гость
"
скулёж собаки был слышен далеко,"скулеж собака быть слышный далеко
"
несколько раз заходил я к вам,"несколько раз заходить я к вы
"
частенько бывал я у вас,"частенько бывать я у вы
"
перен. с ним многого не добьёшься (букв. с ним далеко не уедешь),"с он многое не добиваться с он далеко не
"
перен. с ним многого не добьёшься (букв. с ним далеко не уедешь),"с он многое не добиваться с он далеко не
"
ты тоже от него недалеко ушел,"ты тоже от он недалеко уходить
"
завести далеко,"заводить далеко
"
промолви за меня слово (кому-н.),"промолвить за я слово
"
к вам кто-нибудь приходил?,"к вы
"
говорят; кто-то приезжает к нам,"приезжать к мы
"
зачем мы к нему идём? ,"зачем мы к он
"
сегодня вечером приходите к нам,"сегодня вечер приходить к мы
"
подняться наверх,"подниматься наверх
"
(В) ДЛИНУ ,"длина
"
ОСТОРОЖНО,"осторожно
"
ПО-ХОРОШЕМУ,
к отцу,"к отец
"
лок.п. от мест. мин ты,"от мина ты
"
ехать на автобусе,"ехать на автобус
"
нежизнерадостный человек,"нежизнерадостный человек
"
перед людьми,"перед человек
"
около нас (находится) отделение  милиции,"около мы отделение милиция
"
как аждаха напал на меня,"как аждах нападывать на я
"
на платье посадили пятно,"на платье посадить пятно
"
на ткани красивый рисунок,"на ткань красивый рисунок
"
у нас в селении живут (есть) пришельцы,"у мы в селение жить пришелец
"
трава покрылась инеем; заиндевела,"трава покрываться заиндеветь
"
смутно помню я бабушку,"смутно помнить я бабушка
"
навьючивать на осла понемногу,"навьючивать на осел понемногу
"
международное положение,"международный положение
"
натянуть шкурку (козлиную; специально вы-деланную) на бубен,"натягивать шкурка специально на бубен
"
одевать ребенка ,"одевать ребенок
"
надеть наволочку на подушку,"надевать наволочка на подушка
"
в ней нет недостатка,"в она нет недостаток
"
платье тебе идет ,"платье ты идти
"
не вмешивайся в чужой разговор,"не вмешиваться в чужой разговор
"
среди людей,"среди человек
"
между камнями,"между камень
"
вынести (вопрос) на собрание,"вынести на собрание
"
будь среди людей,"быть среди человек
"
пусть разговор останется между нами,"пусть разговор оставаться между мы
"
между рекой и домом находится,"между река и дом находиться
"
между рекой и домом находится,"между река и дом находиться
"
договориться между собой,"договариваться между себя
"
а) между нами б) по секрету,"между мы по секрет
"
один из двух,"один из два
"
герои – среди нас,"герой среди мы
"
защемил палец между дверью,"защемлять палец между дверь
"
вложенный в книгу,"вкладывать в книга
"
вложенный между одеялами,"вложенный между одеяло
"
и эта обуза взвалилась на меня,"и этот обуза взваливаться на я
"
грифы слетелись на падаль,"гриф слетаться на падаль
"
возить на машине,"возить на машина
"
не опирайся на меня,"не опираться на я
"
между ними нет разницы,"между они нет разница
"
при посторонних дети начинают капризничать,"при посторонний ребенок начинать капризничать
"
в меня попали (чем-л.); ,"в я попадать
"
в него попали камнем,"в он попадать камень
"
на него упало (что-л.),"на он упасть
"
она пришла; чтобы наброситься на меня,"она чтобы наброситься на я
"
между нами нет равенства,"между мы нет равенство
"
все вещи поделили поровну между братья-ми,"весь вещь поделить поровну между
"
она иссохла из-за тебя; по тебе,"она иссыхать по ты
"
не подходи к собаке,"не подходить к собака
"
возле нас,"возле мы
"
около пашни,"около пашня
"
возле леса,"возле лес
"
мой дом находится около родителей (роди-тельского дома),"мой дом находиться около родитель
"
некрасиво смеяться над людьми,"некрасиво смеяться над человек
"
люди смеются над тобой,"человек смеяться над ты
"
иди за мной,"идти за я
"
ходить впереди быков (при вспашке; управ-ляя ими) ,"ходить впереди бык
"
навивать нитки на клубок,"навивать нитка на клубок
"
за домом,"за дом
"
за домом ,"за дом
"
заставь; уговори ее оставить ребенка здесь,"уговаривать она оставлять ребенок здесь
"
люди пошли за тобой,"человек пойти за ты
"
вслед за мной ,"вслед за я
"
я никак не пойму тебя (букв. я не догоняю того; что ты рассказываешь),"я никак не понимать ты я не догонять что ты
"
следующий за мной (в очереди; в строю и т.д.),"следовать за я в строй и
"
биться с врагом,"биться с враг
"
вокруг дома,"вокруг дом
"
вокруг села,"вокруг садиться
"
обвести каймой (окаймить) платок,"обвести кайма платок
"
загородить дом (букв. обвести вокруг дома),"загораживать дом обвести вокруг
"
окрестный лес,"окрестный лес
"
что за люди вокруг тебя?,"что за человек вокруг
"
я отомстил ему,"я отомщать он
"
не стой передо мной,"не стоять передо я
"
его вина не установилась (букв. на нем вина не установилась) ,"его вино не устанавливаться на немой вино не
"
усугубить душевное состояние (букв. посы-пать соль на рану),"усугублять душевный состояние соль на
"
подержать руки над огнем,"подержать рука над огонь
"
подержать над огнем мокрую обувь ,"подержать над огонь мокрый обувь
"
запомнить (букв. держать в сердце),"запоминать держать в
"
наступил на лягушку,"наступать на лягушка
"
ветер меня повалил на сено,"ветер я повалить на сено
"
я застигнул вора врасплох  (сх: я свалился на вора),"я застигнуть вор врасплох я сваливаться на
"
у меня во рту горечь,"у я во рот горечь
"
положить под стол,"полагать под стол
"
она училась со мной,"она учиться со я
"
намазать на хлеб масло,"намазывать на хлеб масло
"
спрятаться за деревом,"спрятаться за дерево
"
не вмешивайся в разговор,"не вмешиваться в разговор
"
над калекой нельзя смеяться (насмехаться),"над калека нельзя смеяться
"
люди насмехаются над тобой,"человек насмехаться над ты
"
бревно потянули с помощью быков,"бревно потянуть с помощь бык
"
у него какая-то хворь ,"у он хворь
"
это пальто на мне хорошо (сидит),"этот пальто на я хорошо
"
под камнем нашли скорпиона,"под камень находить скорпион
"
у тебя нет совести,"у ты нет совесть
"
это платье (или рубашка) тебе не идет,"это платье ты не идти
"
я не пойду с тобой,"я не пойти с ты
"
он задремал в кресле,"он задремать в кресло
"
навьючить седло на осла,"навьючивать седло на осел
"
нельзя цепляться за машину,"нельзя цепляться за машина
"
осыпать листву с дерева,"осыпать листва с дерево
"
с инфекционными больными не разрешают контактировать,"с инфекционный больной не разрешать контактировать
"
а) не прикасайся ко мне б) не дотрагивайся до меня,"не прикасаться ко я не дотрагиваться до я
"
я не могу догнать тебя (в пути) ,"я не мочь догнать ты
"
я не поспеваю за тобой в работе ,"я не поспевать за ты в работа
"
я не могу тебя понять,"я не мочь ты понимать
"
а) я тебя понял б) я тебя раскусил ,"я ты понимать я ты раскусывать
"
под ногами послышался хруст,"под нога послышаться хруст
"
он живет рядом со мной,"он жить рядом со я
"
жарить мясо на углях,"жарить мясо на уголь
"
вот хорошо; я тоже приду с тобой,"вот я тоже прийти с ты
"
прямо на моих глазах,"прямо на мой глаз
"
птица села на ветку,"птица садиться на ветка
"
со мной и товарищ пришел,"со я и товарищ приходить
"
перед аулом,"перед аул
"
они общительны между собой (букв. между ними общительность есть),"они общительный между себя между они общительность
"
брат растратил деньги (букв. на брате растрата денег),"брат растрачивать деньги на брат растрата
"
положи на стол,"полагать на стол
"
думаю над этой книгой,"думать над этот книга
"
эта шапка тебе к лицу,"этот шапка ты к лицо
"
я поручил это дело сыну (букв. взвалил на сына),"я поручать это дело сын взваливать на
"
этот костюм тебе не идет,"этот костюм ты не идти
"
я насел на него ,"я наседать на он
"
я взялся за работу,"я взяться за работа
"
брать кружку со шкафа,"брать кружка со шкаф
"
с платья грязь сошла,"с платье грязь сходить
"
собака кидается на людей,"собака кидаться на человек
"
ночью на нас напали враги,"ночь на мы нападывать враг
"
она набросилась на меня,"она наброситься на я
"
пастух натравил собаку на волка,"пастух натравлять собака на волк
"
опять приходили за тобой,"опять приходить за ты
"
собака кидалась на теленка,"собака кидаться на теленок
"
под домом,"под дом
"
под столом,"под стол
"
под деревом,"под дерево
"
косить место; расположенное ниже пашни ,"косить располагать ниже пашня
"
вот перед тобой это,"вот перед ты это
"
вот перед тобой  ,"вот перед ты
"
против врагов подняла весь народ,"против враг подымать весь народ
"
он болен неизлечимой болезнью,"он больной неизлечимый болезнь
"
в ее организме какая-то болезнь,"в ее организм болезнь
"
идти за добычей,"идти за добыча
"
между соседями спор нежелателен (букв. нехорошо),"между сосед спор нежелательный
"
между ними возникла ссора,"между они возникать ссора
"
между ними бывают стычки ,"между они бывать стычка
"
не вступай в спор со старшими,"не вступать в спор со старший
"
не вступай в спор со старшими,"не вступать в спор со старший
"
с ним трудно спорить,"с он трудно спорить
"
сын поехал навстречу отцу ,"сын поехать навстречу отец
"
заведомо безвыигрышное дело (букв. против ветра мочиться),"заведомо безвыигрышный дело против ветер
"
он идет мне навстречу,"он идти я навстречу
"
его дом расположен напротив меня,"его дом располагать напротив я
"
до сумерек,"до сумерки
"
сидеть на диване,"сидеть на диван
"
на свете; над миром ,"на над мир
"
враждебность между людьми нежелательна,"враждебность между человек нежелательный
"
между нами не должно быть недоброжелательности; зависти,"между мы не должно быть зависть
"
соблюдать законы,"соблюдать закон
"
кататься на льду,"кататься на лед
"
посадить на качели,"посадить на качели
"
возле села расположен лес ,"возле садиться располагать лес
"
всё в его руках ,"все в его рука
"
около нас; рядом с нами,"около рядом с мы
"
вместе с нами,"вместе с мы
"
местн. п. II сер. от мест. гьил-гьил,"II от
"
оседлать осла; приладить потник на осла,"оседлывать прилаживать потник на осел
"
сказал; что у него нет денег,"что у он нет деньги
"
какую бы ни одела одежду; ей всякая к лицу,"какой бы ни одевать она всякий к лицо
"
я никак не могу понять тебя,"я никак не мочь понимать ты
"
пусть он закроет дверь,"пусть он закрывать дверь
"
коровы заразились ящуром,"корова заражаться ящур
"
скот заразился ящуром,"скот заражаться ящур
"
я раздал кабарат за маму,"я раздавать кабарат за мама
"
ты меня перед людьми сильно не критикуй,"ты я перед человек сильно не критиковать
"
написать на конверте,"написать на конверт
"
принять участие в концерте,"принимать участие в концерт
"
лечь на кровать,"ложиться на кровать
"
на картошке жуки появились,"на картошка жук появляться
"
на рассвете напали фашисты на нас,"на рассвет нападывать фашист на мы
"
нашли у него в руках ,"находить у он в рука
"
погов. даже на земле можно узнать; что птица имеет крылья,"даже на земля можно что птица иметь крыло
"
слева от нас находится лес,"слева от мы находиться лес
"
на клеёнке остались следы,"на клеенка оставаться след
"
быть замужем,"быть замужем
"
унизился перед посторонними,"унижаться перед посторонний
"
собака укусила его,"собака укусить он
"
комары покусали ребенка,"комар покусать ребенок
"
пчелы покусали его,"пчела покусать он
"
закупорить бутылку пробкой,"закупоривать бутылка пробка
"
погрузить на машину ,"погружать на машина
"
тебе поручают,"ты поручать
"
поручил брату,"поручать брат
"
отец заставил сына постричься,"отец заставлять сын постригаться
"
поклясться на Коране (букв. поклясться; по-ложив руку на Коран),"поклясться на коран рука на
"
трубы стали ржаветь,"труба становиться ржаветь
"
виноград поразил фитофтороз,"виноград поражать фитофтороз
"
рубить мясо на чурке,"рубить мясо на чурка
"
а) на коне б) на коня,"на конь на конь
"
курица меня клюнула,"курица я клюнуть
"
тебе не идет быть ленивым,"ты не идти быть ленивый
"
кривляется перед зеркалом,"кривляться перед зеркало
"
я не раб твой; чтобы работать на тебя,"я не раб чтобы работать на ты
"
совести нет у тебя,"совесть нет у ты
"
девушкам подходит (идет) стеснительность,"девушка подходить стеснительность
"
идти по следу,"идти по след
"
поскользнуться на льду,"поскальзываться на лед
"
погов. наша жизнь проходит; мечтая о несбыточном и сожалея о прошедшем,"наш жизнь мечтать о несбыточный и сожалеть о проходить
"
погов. наша жизнь проходит; мечтая о несбыточном и сожалея о прошедшем,"наш жизнь мечтать о несбыточный и сожалеть о проходить
"
у нее появилась слезинка,"у она появляться слезинка
"
перен. плаксивая (букв. в глазу привязана бывает у нее слеза),"плаксивый в глаз привязывать бывать у она
"
у нас по соседству,"у мы по соседство
"
пройти (идти) через мост,"проходить через мост
"
сесть на стул,"садиться на стул
"
запомнить наставление,"запоминать наставление
"
лечь на кушетку,"ложиться на кушетка
"
скот возвращается домой под вечер,"скот возвращаться домой под вечер
"
вечером пошел дождь,"вечер пойти дождь
"
до села дошли под вечер,"до село доходить под вечер
"
сесть на машину,"садиться на машина
"
у тебя в голове нет ума,"у ты в голова нет ум
"
на тебя села пчела,"на ты село пчела
"
суд установил его виновность ,"суд устанавливать он виновность
"
металлолом,"металлолом
"
я предложила ей (заставила её) считать деньги,"я предлагать она считать деньги
"
клеймить скот,"клеймить скот
"
детей посажу на машину,"ребенок посадить на машина
"
посади мальчика на коня,"посадить мальчик на конь
"
мальчик сел на коня,"мальчик садиться на конь
"
положить на носилки,"полагать на носилки
"
нельзя целоваться при старших,"нельзя целоваться при старший
"
нельзя много целовать детей,"нельзя много целовать ребенок
"
ох; как мне было тяжело!,"как я быть
"
сесть на подводу,"садиться на подвода
"
запрячь быка в телегу,"запрягать бык в телега
"
на меня напал кашель,"на я нападывать кашель
"
пойти за помидорами,"пойти за помидор
"
кровать за ширмой ,"кровать за ширма
"
сидеть за партой,"сидеть за парта
"
пусть обойдут тебя скорбные дни,"пусть обходить ты скорбный день
"
меня ужалила пчела,"я ужалить пчела
"
у меня появились бородавки,"у я появляться бородавка
"
молния ударила в дерево,"молния ударять в дерево
"
ехать на поезде,"ехать на поезд
"
вспрыснуть в глаз корове толчёный уголь (один из народных способов лечения глаз животных),"вспрыскивать в глаз корова толченый уголь из народный способ лечение глаз
"
простой; не гордый (букв. в сердце вещь не имеющий),"не гордый в сердце вещь не
"
собери старые; ненужные вещи,"собирать ненужный вещь
"
некрасиво смеяться над человеком,"некрасиво смеяться над человек
"
воевать с врагом,"воевать с враг
"
воевали с бандитами,"воевать с бандит
"
запрячь волов в ярмо ,"запрягать вол в ярмо
"
у нас прохладные отношения,"у мы прохладный отношение
"
зуб на зуб не попадает (от холода),"зуб на зуб не попадать
"
летать на самолёте,"летать на самолет
"
возить на самосвале,"возить на самосвал
"
совместно с тобой,"совместно с ты
"
пошли со мной к соседям,"пойти со я к сосед
"
тебя пошлем с невестой ,"ты посылать с невеста
"
на ягненке много мелких вшей,"на ягненок много мелкий вошь
"
у неё какой-то недостаток (есть) ,"у она недостаток
"
у неё обнаружится; наверное; какая-нибудь болезнь,"у она болезнь
"
клеить марку на конверт,"клеить марка на конверт
"
его лихорадит; его знобит,"он он знобить
"
нет в тебе ни чести; ни совести,"нет в ты ни ни совесть
"
опозорили перед людьми,"опозорить перед человек
"
ты меня позоришь перед людьми,"ты я позорить перед человек
"
не позорься перед людьми,"не позориться перед человек
"
всё продовольствие в его руках,"весь продовольствие в его рука
"
поставить перед гостем еду,"поставлять перед гость ехать
"
перед селом ,"перед село
"
вместо тебя я поработаю ,"вместо ты я поработать
"
кто этот человек впереди тебя? ,"кто этот человек впереди
"
женщина; которая впереди меня в очереди,"который впереди я в очередь
"
перед камином,"перед камин
"
у коровы кожная болезнь (один из видов ра-ковой болезни) 2) рак,"у корова кожный болезнь из вид рак
"
ехать на трамвае,"ехать на трамвай
"
я пошатнулся на льду,"я пошатнуться на лед
"
постелить на кровати,"постилать на кровать
"
лежать на кровати,"лежать на кровать
"
толкнуть её,"толкнуть она
"
столкнуть друг с другом,"сталкивать друг с друг
"
сидеть на паласе,"сидеть на палас
"
среди огурцов,"среди огурец
"
всё в его руках,"все в его рука
"
